timestamp_sec,q1,q2,q3,q4,q5,q6
0.0000,0.00016,0.00048,-0.00043,-2.50411,-1.61068,1.52784
0.0200,0.00062,0.00194,-0.00174,-2.50148,-1.61068,1.52784
0.0400,0.00140,0.00436,-0.00391,-2.49709,-1.61068,1.52784
0.0600,0.00248,0.00774,-0.00694,-2.49096,-1.61068,1.52784
0.0800,0.00387,0.01209,-0.01084,-2.48309,-1.61068,1.52784
0.1000,0.00557,0.01739,-0.01559,-2.47348,-1.61068,1.52784
0.1200,0.00758,0.02365,-0.02120,-2.46214,-1.61068,1.52784
0.1400,0.00988,0.03085,-0.02766,-2.44909,-1.61068,1.52784
0.1600,0.01249,0.03899,-0.03496,-2.43435,-1.61068,1.52784
0.1800,0.01540,0.04806,-0.04309,-2.41791,-1.61068,1.52784
0.2000,0.01860,0.05806,-0.05205,-2.39981,-1.61068,1.52784
0.2200,0.02209,0.06896,-0.06182,-2.38005,-1.61068,1.52784
0.2400,0.02588,0.08077,-0.07241,-2.35866,-1.61068,1.52784
0.2600,0.02994,0.09346,-0.08379,-2.33566,-1.61068,1.52784
0.2800,0.03429,0.10703,-0.09595,-2.31107,-1.61068,1.52784
0.3000,0.03892,0.12147,-0.10890,-2.28492,-1.61068,1.52784
0.3200,0.04381,0.13675,-0.12260,-2.25723,-1.61068,1.52784
0.3400,0.04898,0.15287,-0.13705,-2.22802,-1.61068,1.52784
0.3600,0.05440,0.16981,-0.15223,-2.19734,-1.61068,1.52784
0.3800,0.06009,0.18755,-0.16813,-2.16520,-1.61068,1.52784
0.4000,0.06602,0.20607,-0.18474,-2.13164,-1.61068,1.52784
0.4200,0.07220,0.22536,-0.20203,-2.09669,-1.61068,1.52784
0.4400,0.07862,0.24539,-0.21999,-2.06039,-1.61068,1.52784
0.4600,0.08527,0.26615,-0.23861,-2.02278,-1.61068,1.52784
0.4800,0.09215,0.28762,-0.25785,-1.98388,-1.61068,1.52784
0.5000,0.09925,0.30978,-0.27771,-1.94374,-1.61068,1.52784
0.5200,0.10656,0.33259,-0.29817,-1.90240,-1.61068,1.52784
0.5400,0.11408,0.35605,-0.31920,-1.85990,-1.61068,1.52784
0.5600,0.12179,0.38013,-0.34078,-1.81628,-1.61068,1.52784
0.5800,0.12969,0.40480,-0.36290,-1.77159,-1.61068,1.52784
0.6000,0.13778,0.43004,-0.38553,-1.72586,-1.61068,1.52784
0.6200,0.14604,0.45582,-0.40864,-1.67914,-1.61068,1.52784
0.6400,0.15447,0.48212,-0.43222,-1.63149,-1.61068,1.52784
0.6600,0.16305,0.50892,-0.45625,-1.58294,-1.61068,1.52784
0.6800,0.17179,0.53618,-0.48069,-1.53354,-1.61068,1.52784
0.7000,0.18066,0.56389,-0.50552,-1.48335,-1.61068,1.52784
0.7200,0.18967,0.59200,-0.53073,-1.43241,-1.61068,1.52784
0.7400,0.19880,0.62050,-0.55628,-1.38077,-1.61068,1.52784
0.7600,0.20805,0.64936,-0.58215,-1.32849,-1.61068,1.52784
0.7800,0.21740,0.67855,-0.60832,-1.27561,-1.61068,1.52784
0.8000,0.22685,0.70803,-0.63475,-1.22219,-1.61068,1.52784
0.8200,0.23638,0.73779,-0.66143,-1.16828,-1.61068,1.52784
0.8400,0.24599,0.76779,-0.68832,-1.11393,-1.61068,1.52784
0.8600,0.25567,0.79799,-0.71540,-1.05920,-1.61068,1.52784
0.8800,0.26541,0.82838,-0.74265,-1.00414,-1.61068,1.52784
0.9000,0.27519,0.85893,-0.77003,-0.94880,-1.61068,1.52784
0.9200,0.28502,0.88959,-0.79752,-0.89325,-1.61068,1.52784
0.9400,0.29487,0.92034,-0.82509,-0.83753,-1.61068,1.52784
0.9600,0.30474,0.95116,-0.85271,-0.78170,-1.61068,1.52784
0.9800,0.31462,0.98200,-0.88037,-0.72581,-1.61068,1.52784
1.0000,0.32451,1.01285,-0.90802,-0.66993,-1.61068,1.52784
1.0200,0.33438,1.04366,-0.93564,-0.61410,-1.61068,1.52784
1.0400,0.34423,1.07442,-0.96322,-0.55838,-1.61068,1.52784
1.0600,0.35406,1.10508,-0.99070,-0.50282,-1.61068,1.52784
