timestamp_sec,q1,q2,q3,q4,q5,q6
0.0000,0.00062,0.00194,-0.00174,-2.50148,-1.61068,1.52784
0.0200,0.00248,0.00774,-0.00694,-2.49096,-1.61068,1.52784
0.0400,0.00557,0.01739,-0.01559,-2.47348,-1.61068,1.52784
0.0600,0.00988,0.03085,-0.02766,-2.44909,-1.61068,1.52784
0.0800,0.01540,0.04806,-0.04309,-2.41791,-1.61068,1.52784
0.1000,0.02209,0.06896,-0.06182,-2.38005,-1.61068,1.52784
0.1200,0.02994,0.09346,-0.08379,-2.33566,-1.61068,1.52784
0.1400,0.03892,0.12147,-0.10890,-2.28492,-1.61068,1.52784
0.1600,0.04898,0.15287,-0.13705,-2.22802,-1.61068,1.52784
0.1800,0.06009,0.18755,-0.16813,-2.16520,-1.61068,1.52784
0.2000,0.07220,0.22536,-0.20203,-2.09669,-1.61068,1.52784
0.2200,0.08527,0.26615,-0.23861,-2.02278,-1.61068,1.52784
0.2400,0.09925,0.30978,-0.27771,-1.94374,-1.61068,1.52784
0.2600,0.11408,0.35605,-0.31920,-1.85990,-1.61068,1.52784
0.2800,0.12969,0.40480,-0.36290,-1.77159,-1.61068,1.52784
0.3000,0.14604,0.45582,-0.40864,-1.67914,-1.61068,1.52784
0.3200,0.16305,0.50892,-0.45625,-1.58294,-1.61068,1.52784
0.3400,0.18066,0.56389,-0.50552,-1.48335,-1.61068,1.52784
0.3600,0.19880,0.62050,-0.55628,-1.38077,-1.61068,1.52784
0.3800,0.21740,0.67855,-0.60832,-1.27561,-1.61068,1.52784
0.4000,0.23638,0.73779,-0.66143,-1.16828,-1.61068,1.52784
0.4200,0.25567,0.79799,-0.71540,-1.05920,-1.61068,1.52784
0.4400,0.27519,0.85893,-0.77003,-0.94880,-1.61068,1.52784
0.4600,0.29487,0.92034,-0.82509,-0.83753,-1.61068,1.52784
0.4800,0.31462,0.98200,-0.88037,-0.72581,-1.61068,1.52784
0.5000,0.33438,1.04366,-0.93564,-0.61410,-1.61068,1.52784
0.5200,0.35406,1.10508,-0.99070,-0.50282,-1.61068,1.52784
0.5400,0.37358,1.16601,-1.04533,-0.39243,-1.61068,1.52784
0.5600,0.39287,1.22622,-1.09930,-0.28335,-1.61068,1.52784
0.5800,0.41185,1.28546,-1.15241,-0.17602,-1.61068,1.52784
0.6000,0.43044,1.34350,-1.20445,-0.07086,-1.61068,1.52784
0.6200,0.44858,1.40012,-1.25521,0.03172,-1.61068,1.52784
0.6400,0.46620,1.45509,-1.30448,0.13131,-1.61068,1.52784
