timestamp_sec,q1,q2,q3,q4,q5,q6
1.0843,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.1074,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.1315,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.1535,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.1749,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.1978,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.2183,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.2391,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.2642,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.2864,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.3093,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.3311,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.3524,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.3731,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.3941,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.4168,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.4384,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.4606,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.4823,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.5046,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.5281,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.5513,0.06596,0.00000,0.00000,-2.50499,-3.10171,0.08283
1.5771,0.06596,0.00000,0.00000,-2.50499,-3.10018,0.08283
1.6031,0.06596,0.00000,0.00000,-2.50499,-3.08790,0.08283
1.6254,0.06596,0.00000,0.00000,-2.50499,-3.08637,0.08283
1.6489,0.06596,0.00000,0.00000,-2.50499,-3.08330,0.08283
1.6712,0.06596,0.00000,0.00000,-2.50499,-3.09097,0.08283
1.6990,0.06596,0.00000,0.00000,-2.50499,-3.11551,0.08283
1.7224,0.06596,0.00000,0.00000,-2.50499,-3.13085,0.08283
1.7469,0.06596,0.00000,0.00000,-2.50499,-3.14006,0.08283
1.7709,0.06596,0.00000,0.00000,-2.50499,-3.14926,0.08283
1.7991,0.06596,0.00000,0.00000,-2.50499,-3.16153,0.08283
1.8227,0.06596,0.00000,0.00000,-2.50499,-3.16920,0.08283
1.8472,0.06596,0.00000,0.00000,-2.50499,-3.17994,0.08283
1.8714,0.06596,0.00000,0.00000,-2.50499,-3.19068,0.08283
1.8980,0.06596,0.00000,0.00000,-2.50499,-3.20142,0.08283
1.9204,0.06596,0.00000,0.00000,-2.50499,-3.21062,0.08283
1.9432,0.06596,0.00000,0.00000,-2.50499,-3.22903,0.08283
1.9682,0.06596,0.00000,0.00000,-2.50499,-3.25357,0.08283
