timestamp_sec,q1,q2,q3,q4,q5,q6
0.0000,0.00004,0.00012,-0.00012,-2.50476,-1.61068,1.52784
0.0200,0.00016,0.00049,-0.00048,-2.50407,-1.61068,1.52784
0.0400,0.00035,0.00111,-0.00109,-2.50292,-1.61068,1.52784
0.0600,0.00062,0.00197,-0.00193,-2.50132,-1.61068,1.52784
0.0800,0.00097,0.00308,-0.00302,-2.49925,-1.61068,1.52784
0.1000,0.00140,0.00443,-0.00435,-2.49673,-1.61068,1.52784
0.1200,0.00190,0.00603,-0.00592,-2.49375,-1.61068,1.52784
0.1400,0.00248,0.00787,-0.00773,-2.49031,-1.61068,1.52784
0.1600,0.00314,0.00996,-0.00977,-2.48642,-1.61068,1.52784
0.1800,0.00388,0.01229,-0.01206,-2.48207,-1.61068,1.52784
0.2000,0.00469,0.01487,-0.01459,-2.47727,-1.61068,1.52784
0.2200,0.00558,0.01769,-0.01735,-2.47201,-1.61068,1.52784
0.2400,0.00655,0.02075,-0.02036,-2.46631,-1.61068,1.52784
0.2600,0.00759,0.02405,-0.02359,-2.46015,-1.61068,1.52784
0.2800,0.00871,0.02759,-0.02707,-2.45355,-1.61068,1.52784
0.3000,0.00990,0.03137,-0.03078,-2.44650,-1.61068,1.52784
0.3200,0.01117,0.03539,-0.03472,-2.43900,-1.61068,1.52784
0.3400,0.01251,0.03965,-0.03890,-2.43106,-1.61068,1.52784
0.3600,0.01393,0.04415,-0.04331,-2.42268,-1.61068,1.52784
0.3800,0.01542,0.04888,-0.04795,-2.41386,-1.61068,1.52784
0.4000,0.01699,0.05384,-0.05282,-2.40461,-1.61068,1.52784
0.4200,0.01863,0.05904,-0.05792,-2.39492,-1.61068,1.52784
0.4400,0.02034,0.06447,-0.06325,-2.38480,-1.61068,1.52784
0.4600,0.02213,0.07013,-0.06880,-2.37424,-1.61068,1.52784
0.4800,0.02398,0.07602,-0.07457,-2.36326,-1.61068,1.52784
0.5000,0.02591,0.08213,-0.08058,-2.35186,-1.61068,1.52784
0.5200,0.02792,0.08848,-0.08680,-2.34003,-1.61068,1.52784
0.5400,0.02999,0.09504,-0.09324,-2.32779,-1.61068,1.52784
0.5600,0.03213,0.10183,-0.09990,-2.31513,-1.61068,1.52784
0.5800,0.03434,0.10884,-0.10678,-2.30206,-1.61068,1.52784
0.6000,0.03662,0.11608,-0.11387,-2.28858,-1.61068,1.52784
0.6200,0.03897,0.12352,-0.12118,-2.27469,-1.61068,1.52784
0.6400,0.04139,0.13119,-0.12870,-2.26040,-1.61068,1.52784
0.6600,0.04388,0.13907,-0.13643,-2.24571,-1.61068,1.52784
0.6800,0.04643,0.14716,-0.14437,-2.23063,-1.61068,1.52784
0.7000,0.04905,0.15546,-0.15251,-2.21515,-1.61068,1.52784
0.7200,0.05173,0.16397,-0.16086,-2.19928,-1.61068,1.52784
0.7400,0.05448,0.17268,-0.16941,-2.18304,-1.61068,1.52784
0.7600,0.05730,0.18160,-0.17816,-2.16641,-1.61068,1.52784
0.7800,0.06018,0.19072,-0.18711,-2.14940,-1.61068,1.52784
0.8000,0.06312,0.20004,-0.19625,-2.13203,-1.61068,1.52784
0.8200,0.06612,0.20956,-0.20558,-2.11429,-1.61068,1.52784
0.8400,0.06918,0.21927,-0.21511,-2.09618,-1.61068,1.52784
0.8600,0.07231,0.22917,-0.22483,-2.07772,-1.61068,1.52784
0.8800,0.07549,0.23927,-0.23473,-2.05890,-1.61068,1.52784
0.9000,0.07874,0.24955,-0.24482,-2.03973,-1.61068,1.52784
0.9200,0.08204,0.26001,-0.25508,-2.02022,-1.61068,1.52784
0.9400,0.08540,0.27066,-0.26553,-2.00036,-1.61068,1.52784
0.9600,0.08881,0.28149,-0.27615,-1.98018,-1.61068,1.52784
0.9800,0.09229,0.29249,-0.28695,-1.95966,-1.61068,1.52784
1.0000,0.09581,0.30367,-0.29791,-1.93882,-1.61068,1.52784
1.0200,0.09939,0.31502,-0.30905,-1.91766,-1.61068,1.52784
