timestamp_sec,q1,q2,q3,q4,q5,q6
1.4600,0.30803,0.96144,-0.86193,-0.76307,-1.61068,1.52784
1.4800,0.31462,0.98200,-0.88037,-0.72581,-1.61068,1.52784
1.5000,0.32121,1.00257,-0.89880,-0.68855,-1.61068,1.52784
1.5200,0.32780,1.02313,-0.91723,-0.65131,-1.61068,1.52784
1.5400,0.33438,1.04366,-0.93564,-0.61410,-1.61068,1.52784
1.5600,0.34095,1.06418,-0.95403,-0.57694,-1.61068,1.52784
1.5800,0.34751,1.08465,-0.97239,-0.53984,-1.61068,1.52784
1.6000,0.35406,1.10508,-0.99070,-0.50282,-1.61068,1.52784
1.6200,0.36059,1.12546,-1.00897,-0.46591,-1.61068,1.52784
1.6400,0.36709,1.14577,-1.02718,-0.42910,-1.61068,1.52784
1.6600,0.37358,1.16601,-1.04533,-0.39243,-1.61068,1.52784
1.6800,0.38004,1.18617,-1.06340,-0.35590,-1.61068,1.52784
1.7000,0.38647,1.20624,-1.08140,-0.31954,-1.61068,1.52784
1.7200,0.39287,1.22622,-1.09930,-0.28335,-1.61068,1.52784
1.7400,0.39923,1.24608,-1.11711,-0.24736,-1.61068,1.52784
1.7600,0.40556,1.26583,-1.13482,-0.21158,-1.61068,1.52784
1.7800,0.41185,1.28546,-1.15241,-0.17602,-1.61068,1.52784
1.8000,0.41809,1.30495,-1.16989,-0.14070,-1.61068,1.52784
1.8200,0.42429,1.32430,-1.18724,-0.10564,-1.61068,1.52784
1.8400,0.43044,1.34350,-1.20445,-0.07086,-1.61068,1.52784
1.8600,0.43655,1.36255,-1.22152,-0.03636,-1.61068,1.52784
1.8800,0.44259,1.38142,-1.23844,-0.00216,-1.61068,1.52784
1.9000,0.44858,1.40012,-1.25521,0.03172,-1.61068,1.52784
1.9200,0.45452,1.41864,-1.27181,0.06527,-1.61068,1.52784
1.9400,0.46039,1.43696,-1.28824,0.09847,-1.61068,1.52784
1.9600,0.46620,1.45509,-1.30448,0.13131,-1.61068,1.52784
1.9800,0.47194,1.47301,-1.32055,0.16377,-1.61068,1.52784
2.0000,0.47761,1.49071,-1.33642,0.19585,-1.61068,1.52784
2.0200,0.48321,1.50819,-1.35209,0.22752,-1.61068,1.52784
2.0400,0.48873,1.52544,-1.36755,0.25877,-1.61068,1.52784
2.0600,0.49418,1.54245,-1.38280,0.28959,-1.61068,1.52784
2.0800,0.49956,1.55921,-1.39783,0.31996,-1.61068,1.52784
2.1000,0.50485,1.57572,-1.41263,0.34987,-1.61068,1.52784
2.1200,0.51005,1.59197,-1.42720,0.37932,-1.61068,1.52784
2.1400,0.51517,1.60796,-1.44153,0.40827,-1.61068,1.52784
2.1600,0.52021,1.62366,-1.45561,0.43674,-1.61068,1.52784
2.1800,0.52515,1.63909,-1.46945,0.46469,-1.61068,1.52784
2.2000,0.53000,1.65423,-1.48302,0.49212,-1.61068,1.52784
2.2200,0.53475,1.66908,-1.49633,0.51901,-1.61068,1.52784
2.2400,0.53941,1.68362,-1.50936,0.54536,-1.61068,1.52784
2.2600,0.54397,1.69785,-1.52212,0.57115,-1.61068,1.52784
2.2800,0.54843,1.71177,-1.53460,0.59637,-1.61068,1.52784
2.3000,0.55279,1.72538,-1.54680,0.62101,-1.61068,1.52784
2.3200,0.55705,1.73865,-1.55870,0.64506,-1.61068,1.52784
2.3400,0.56119,1.75159,-1.57030,0.66851,-1.61068,1.52784
2.3600,0.56523,1.76420,-1.58160,0.69135,-1.61068,1.52784
2.3800,0.56916,1.77646,-1.59260,0.71357,-1.61068,1.52784
2.4000,0.57298,1.78837,-1.60328,0.73515,-1.61068,1.52784
2.4200,0.57668,1.79993,-1.61364,0.75610,-1.61068,1.52784
2.4400,0.58027,1.81114,-1.62368,0.77639,-1.61068,1.52784
2.4600,0.58374,1.82197,-1.63340,0.79603,-1.61068,1.52784
