r_cm,r_m,theta_deg,sag_delta_z_mm,sag_delta_z_m
15.0,0.15,-45.0,29.0,0.029
20.0,0.2,-45.0,32.0,0.032
25.0,0.25,-45.0,57.0,0.057
30.0,0.3,-45.0,56.0,0.056
35.0,0.35,-45.0,86.0,0.086
40.0,0.4,-45.0,106.0,0.106
45.0,0.45,-45.0,180.0,0.18
15.0,0.15,0.0,23.0,0.023
20.0,0.2,0.0,32.0,0.032
25.0,0.25,0.0,41.0,0.041
30.0,0.3,0.0,50.0,0.05
35.0,0.35,0.0,78.0,0.078
40.0,0.4,0.0,105.0,0.105
45.0,0.45,0.0,175.0,0.175
15.0,0.15,45.0,28.0,0.028
20.0,0.2,45.0,32.0,0.032
25.0,0.25,45.0,56.0,0.056
30.0,0.3,45.0,55.0,0.055
35.0,0.35,45.0,79.0,0.079
40.0,0.4,45.0,102.0,0.102
45.0,0.45,45.0,180.0,0.18
